term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
leben,521,0.0439,0.0722,0.0003,0.0147,0.1055,0.0002,0.0511,0.0011,0.0894,0.0393,0.0093,0.0001,0.0167,0.0084,0.0001,0.0182,0.0002,0.0001,0.0606,0.0001
mensch,240,0.0261,0.0474,0.0003,0.0133,0.0097,0.0,0.0001,0.0011,0.0001,0.0046,0.0245,0.0001,0.0001,0.0239,0.0001,0.0055,0.0002,0.0001,0.02,0.0001
ethik,199,0.0222,0.0132,0.0003,0.0001,0.0219,0.0,0.0427,0.0011,0.0001,0.0071,0.0079,0.0058,0.042,0.0018,0.0094,0.0073,0.0002,0.0001,0.0222,0.0001
moral,168,0.0001,0.0086,0.0003,0.0001,0.0417,0.0,0.0122,0.0011,0.0001,0.0001,0.0001,0.0001,0.0065,0.052,0.0425,0.0,0.0002,0.0001,0.0067,0.0001
glücksvorstellung,144,0.0001,0.0132,0.0003,0.1404,0.005,0.0,0.0001,0.0011,0.0002,0.0001,0.0001,0.0203,0.0001,0.0001,0.0001,0.0057,0.0002,0.0001,0.0047,0.0003
vorstellung,136,0.005,0.0062,0.0003,0.0256,0.0108,0.0,0.0001,0.0011,0.0001,0.0073,0.0079,0.0001,0.0001,0.0045,0.0001,0.0074,0.0002,0.0001,0.0225,0.0002
begriff,116,0.017,0.0041,0.0905,0.0001,0.0132,0.0224,0.0001,0.0011,0.0001,0.0001,0.0121,0.0001,0.0001,0.002,0.0132,0.0,0.0002,0.0001,0.0027,0.0001
frage,116,0.0001,0.0125,0.0003,0.0001,0.0036,0.0055,0.0001,0.0011,0.0001,0.0202,0.0001,0.0001,0.0087,0.0,0.0001,0.0029,0.0111,0.0001,0.0154,0.0001
individuell,105,0.0001,0.0038,0.0003,0.0001,0.0126,0.0,0.0001,0.0011,0.0071,0.0243,0.0001,0.0162,0.0001,0.0027,0.0001,0.0,0.0002,0.0001,0.0156,0.0001
ziel,95,0.0001,0.0276,0.0004,0.0102,0.0119,0.0,0.0001,0.0011,0.0001,0.0001,0.0024,0.0001,0.0001,0.0,0.0001,0.0,0.0002,0.0389,0.0,0.0001
sozial,91,0.0001,0.0043,0.0003,0.0114,0.0051,0.0171,0.0001,0.0011,0.0001,0.0001,0.0001,0.0001,0.012,0.0001,0.0001,0.013,0.0002,0.0001,0.0114,0.0001
verantwortung,90,0.0001,0.0018,0.0003,0.0065,0.0,0.0,0.0001,0.0011,0.0001,0.0127,0.0001,0.0001,0.0001,0.0244,0.0031,0.0,0.0002,0.0001,0.0146,0.0046
konsum,86,0.0001,0.0,0.0003,0.0001,0.0,0.0232,0.0001,0.0011,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0299,0.0002,0.0001,0.0004,0.0001
moralisch,84,0.0001,0.0,0.0003,0.0001,0.0129,0.0,0.0001,0.0011,0.0001,0.0401,0.0001,0.0001,0.0001,0.0,0.022,0.0128,0.0002,0.0001,0.0071,0.0001
verschieden,83,0.0001,0.0019,0.0003,0.0394,0.0031,0.0052,0.0002,0.0011,0.0001,0.0089,0.0001,0.0211,0.0001,0.0,0.0088,0.0013,0.0002,0.0001,0.0049,0.0001
