term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
emotional,242,0.021,0.0638,0.0816,0.0173,0.0351,0.0387,0.0208
emotion,171,0.0259,0.0415,0.0004,0.0266,0.0068,0.0009,0.053
sozial,93,0.0003,0.0002,0.0001,0.037,0.0037,0.0347,0.0408
reflektieren,75,0.0003,0.0001,0.0001,0.0485,0.0074,0.0001,0.0047
kompetenz,73,0.0038,0.0209,0.0001,0.0021,0.0003,0.0191,0.0291
beschreiben,67,0.0003,0.0001,0.0281,0.0201,0.0097,0.0001,0.0038
wahrnehmung,67,0.0003,0.0001,0.0002,0.0093,0.0006,0.0188,0.0304
bedürfnis,56,0.0004,0.0001,0.1205,0.0212,0.0003,0.0001,0.0002
gesellschaftlich,53,0.0003,0.0001,0.0277,0.0005,0.0138,0.0539,0.0002
frage,52,0.0003,0.0096,0.0027,0.0083,0.021,0.0001,0.0002
motivation,52,0.0089,0.0002,0.0003,0.0001,0.0077,0.0002,0.0388
kognitiv,51,0.0068,0.0019,0.0001,0.0117,0.0003,0.0118,0.0276
perspektive,51,0.0003,0.004,0.0002,0.0251,0.0153,0.0001,0.0002
psychisch,48,0.0003,0.0142,0.0001,0.0131,0.003,0.0001,0.0059
handeln,46,0.0092,0.0069,0.0002,0.0178,0.0003,0.0001,0.0002
gefühl,45,0.0034,0.0002,0.0002,0.02,0.0054,0.0028,0.0002
entwicklung,44,0.0003,0.002,0.0001,0.0128,0.0101,0.0072,0.0358
erkennen,43,0.0003,0.0217,0.0001,0.002,0.0003,0.0001,0.0045
grenze,36,0.0049,0.0002,0.0002,0.0079,0.0222,0.0001,0.0002
natur,36,0.0003,0.0185,0.0001,0.0001,0.011,0.0001,0.0002
unterschiedlich,36,0.0046,0.0039,0.0002,0.0269,0.001,0.0001,0.0002
verschieden,36,0.0234,0.0038,0.0001,0.0042,0.0003,0.0004,0.0044
kognition,34,0.0043,0.003,0.0002,0.0001,0.0041,0.0001,0.0232
grundlage,32,0.0189,0.0058,0.0002,0.0126,0.0003,0.0001,0.0051
stellen,31,0.0003,0.0001,0.0039,0.0057,0.0176,0.0001,0.0002
aspekt,30,0.023,0.0002,0.0046,0.0003,0.0109,0.0001,0.0002
ausdrücken,30,0.0003,0.0191,0.0001,0.0001,0.0003,0.0001,0.0002
motivieren,30,0.0003,0.0192,0.0001,0.0001,0.0003,0.0001,0.0002
adressat,29,0.0003,0.0186,0.0001,0.0001,0.0004,0.0001,0.0002
eingehen,29,0.0003,0.0185,0.0001,0.0001,0.0003,0.0003,0.0002
funktion,29,0.0005,0.0001,0.0835,0.0001,0.0003,0.0001,0.0002
bedeutung,27,0.018,0.0002,0.0002,0.0018,0.006,0.004,0.0002
kulturell,27,0.0033,0.0001,0.0002,0.0001,0.0232,0.0232,0.0002
unterricht,27,0.0004,0.0002,0.0001,0.0001,0.0004,0.0323,0.0002
zustand,27,0.0003,0.0173,0.0001,0.0001,0.0003,0.0001,0.0002
analysieren,26,0.0003,0.0001,0.0002,0.0001,0.0396,0.0001,0.0002
bewältigen,26,0.0003,0.0167,0.0001,0.0001,0.0003,0.0001,0.0002
gehören,26,0.0003,0.0167,0.0001,0.0001,0.0003,0.0001,0.0002
gesundheit,26,0.0003,0.0167,0.0001,0.0001,0.0003,0.0001,0.0002
orientierung,26,0.0003,0.0001,0.0038,0.0001,0.002,0.027,0.0021
angst,25,0.0005,0.0001,0.0141,0.0003,0.0003,0.0013,0.0002
aversiv,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
belastend,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
emotionsregulation,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
empathisch,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
motivationlernbereitschaft,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
umgeh,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
vertrauen,25,0.0003,0.0161,0.0001,0.0001,0.0003,0.0001,0.0002
ethik,24,0.0048,0.0001,0.0001,0.004,0.0178,0.0001,0.0002
kompetenzerwartunge,24,0.0003,0.0001,0.0002,0.0053,0.018,0.0001,0.0002
mensch,24,0.0003,0.0069,0.0002,0.0006,0.0188,0.0001,0.0002
beziehung,23,0.0003,0.0022,0.0002,0.0133,0.0003,0.0001,0.0011
entwickeln,22,0.0003,0.0074,0.0001,0.0132,0.0065,0.0001,0.0002
körperlich,22,0.0003,0.0001,0.004,0.0001,0.0003,0.0099,0.0185
möglichkeit,22,0.0003,0.0002,0.0001,0.0046,0.0133,0.0001,0.0029
voraussetzung,22,0.0035,0.0001,0.0001,0.0117,0.0003,0.0001,0.0153
bezug,21,0.0178,0.0024,0.0001,0.0001,0.0042,0.0018,0.0003
handlung,21,0.0004,0.0001,0.0003,0.0019,0.0252,0.0001,0.0002
psychologie,21,0.0004,0.0001,0.0001,0.0001,0.0004,0.0001,0.0198
rolle,21,0.0007,0.0034,0.0531,0.0001,0.0003,0.0001,0.0002
akzeptieren,19,0.0003,0.0001,0.0002,0.0037,0.0159,0.0001,0.0002
gesellschaft,19,0.0003,0.0001,0.0001,0.0133,0.0003,0.0001,0.0002
erläutern,18,0.0098,0.0001,0.0272,0.001,0.0015,0.0001,0.0002
persönlichkeit,18,0.0003,0.0001,0.0001,0.0001,0.0182,0.0001,0.0061
sexuell,18,0.0003,0.0001,0.0087,0.0001,0.0065,0.0001,0.0002
bereich,17,0.0237,0.0001,0.0001,0.0001,0.0003,0.0067,0.0002
gestaltung,17,0.0003,0.0039,0.0001,0.0001,0.0003,0.018,0.0002
situation,17,0.0031,0.0001,0.0003,0.0014,0.0176,0.0002,0.0002
verhalten,17,0.0153,0.0001,0.0002,0.0002,0.0003,0.0001,0.0064
wissen,17,0.022,0.0002,0.0001,0.0001,0.0003,0.0001,0.0022
zentral,17,0.0024,0.0001,0.0001,0.0001,0.0003,0.0203,0.0002
familie,16,0.0003,0.0001,0.0752,0.0001,0.0003,0.0001,0.0002
fördern,16,0.0003,0.0016,0.0001,0.0001,0.0003,0.0105,0.0157
kultur,16,0.0003,0.0001,0.0001,0.0018,0.0003,0.0184,0.0002
lernprozesse,16,0.0003,0.0001,0.0001,0.0001,0.0003,0.0184,0.004
weise,16,0.0003,0.0021,0.0001,0.0001,0.0003,0.0189,0.0002
aufgabe,15,0.0003,0.0001,0.0746,0.0001,0.0003,0.0001,0.0002
theorie,15,0.0187,0.0002,0.0002,0.0001,0.0003,0.0001,0.0026
verbindung,15,0.0003,0.0027,0.0001,0.0001,0.0003,0.018,0.0002
veränderung,15,0.0003,0.0001,0.0063,0.0001,0.0003,0.0006,0.0039
wichtig,15,0.0019,0.0052,0.0001,0.0127,0.0003,0.0001,0.0002
geben,14,0.0003,0.0001,0.0001,0.0001,0.0003,0.0196,0.0002
medium,14,0.0161,0.0016,0.0001,0.0001,0.0018,0.0001,0.0002
urteil,14,0.0204,0.0001,0.0001,0.0001,0.0003,0.0001,0.0002
wunsch,14,0.0003,0.0001,0.0371,0.0001,0.0019,0.0001,0.0002
identität,13,0.0003,0.0001,0.0516,0.0001,0.0003,0.0001,0.0002
kontext,13,0.0003,0.0002,0.0002,0.0002,0.0165,0.0001,0.0021
phase,13,0.0103,0.0042,0.0001,0.0001,0.0003,0.0001,0.0002
psychologisch,13,0.0197,0.0001,0.0001,0.0001,0.0004,0.0002,0.0002
relevanz,13,0.0003,0.0001,0.0002,0.0001,0.0197,0.0001,0.0002
aussage,12,0.018,0.0002,0.0001,0.0001,0.0003,0.0001,0.0002
erwerb,12,0.0003,0.0001,0.0001,0.0001,0.0003,0.0083,0.018
form,12,0.0104,0.0001,0.0001,0.0001,0.0018,0.0001,0.0039
individuell,12,0.0003,0.0002,0.0001,0.0132,0.0003,0.0001,0.0154
literatur,12,0.0003,0.0001,0.0001,0.0001,0.0003,0.0185,0.0002
regional,12,0.0003,0.0001,0.0001,0.0001,0.0003,0.0185,0.0002
systematisch,12,0.0003,0.0001,0.0002,0.0001,0.0003,0.0082,0.0181
ausgewählt,11,0.0146,0.0001,0.0001,0.0001,0.0003,0.0002,0.0012
beschäftigung,11,0.0003,0.0001,0.0001,0.0001,0.0003,0.018,0.0002
bieten,11,0.0003,0.0004,0.0001,0.0148,0.0003,0.0001,0.0002
eth,11,0.0003,0.0001,0.0504,0.0001,0.0003,0.0001,0.0002
individualität,11,0.0003,0.0001,0.0503,0.0001,0.0003,0.0001,0.0002
interesse,11,0.0003,0.0002,0.0001,0.0001,0.0003,0.0001,0.0207
kriterium,11,0.0158,0.0003,0.0001,0.0001,0.0003,0.0001,0.0002
typisch,11,0.0003,0.0001,0.0001,0.0001,0.0169,0.0001,0.0002
vielfalt,11,0.0003,0.0001,0.0269,0.0001,0.0047,0.0001,0.0002
vielzahl,11,0.0003,0.0001,0.0001,0.0001,0.0003,0.018,0.0002
wirtschaftsstandort,11,0.0003,0.0001,0.0001,0.0001,0.0003,0.018,0.0002
nennen,10,0.0003,0.0001,0.0281,0.0001,0.0003,0.0001,0.0002
wert,10,0.0003,0.0004,0.0001,0.0144,0.0003,0.0001,0.0002
vermitteln,9,0.0003,0.0001,0.0001,0.0001,0.0003,0.0082,0.0153
ermöglichen,8,0.0003,0.0003,0.0001,0.0001,0.0003,0.0001,0.0178
lebensform,8,0.0003,0.0001,0.0485,0.0001,0.0003,0.0001,0.0002
untersuchen,8,0.0003,0.0001,0.0001,0.0001,0.0121,0.0003,0.0002
rahmen,7,0.0003,0.0002,0.0001,0.0133,0.0003,0.0001,0.0002
unterscheidung,7,0.0105,0.0001,0.0001,0.0001,0.0003,0.0001,0.0002
erfahren,6,0.0003,0.0001,0.0001,0.0001,0.0003,0.0001,0.0162
