term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
lernen,179,0.0001,0.0075,0.0071,0.0002,0.0001,0.0184,0.0252,0.0002,0.0242,0.0485,0.0001,0.0001
kommunikation,136,0.0031,0.0128,0.0045,0.0002,0.0057,0.0164,0.0001,0.0002,0.0001,0.019,0.0198,0.0001
international,121,0.0428,0.0001,0.0001,0.0002,0.0489,0.0001,0.0001,0.0002,0.0001,0.0,0.0076,0.0001
individuell,117,0.0001,0.0134,0.0001,0.0363,0.0001,0.0105,0.0126,0.0083,0.0001,0.0243,0.0029,0.0001
sozial,104,0.0184,0.0001,0.0077,0.0002,0.0128,0.0001,0.0072,0.0002,0.0001,0.0001,0.0272,0.0215
medium,85,0.0043,0.0038,0.0028,0.0002,0.0001,0.0351,0.008,0.0002,0.0001,0.0052,0.0001,0.0001
konflikt,84,0.0366,0.0083,0.0001,0.0002,0.0181,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001
angemessen,83,0.0123,0.0184,0.0001,0.0024,0.0001,0.0001,0.0001,0.0002,0.0282,0.0,0.0001,0.0001
entwicklung,81,0.0326,0.0001,0.0001,0.0002,0.0093,0.009,0.0001,0.0002,0.0001,0.004,0.0031,0.0001
politisch,80,0.0006,0.0001,0.025,0.0002,0.0585,0.0005,0.0001,0.0002,0.0001,0.0,0.0001,0.0001
bedeutung,80,0.0202,0.0053,0.0013,0.0107,0.0071,0.0085,0.0103,0.0002,0.0001,0.0031,0.0003,0.0001
unterschiedlich,76,0.0014,0.0119,0.0002,0.0002,0.0001,0.0122,0.0001,0.0022,0.0001,0.0098,0.0119,0.0131
fördern,72,0.0001,0.0001,0.0001,0.011,0.0001,0.0085,0.0081,0.0002,0.0056,0.0258,0.0001,0.0001
möglichkeit,69,0.0025,0.0001,0.0057,0.0002,0.0096,0.0092,0.0001,0.0002,0.0231,0.0,0.0028,0.0098
selbstständig,68,0.0001,0.0148,0.0142,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0151,0.0036,0.0001
partner,66,0.0087,0.0121,0.0082,0.0002,0.0001,0.0001,0.0001,0.0002,0.0228,0.0,0.0001,0.0001
leistung,66,0.0001,0.0349,0.0001,0.0095,0.0001,0.0001,0.0001,0.0002,0.0001,0.0026,0.0001,0.0001
angebot,64,0.0001,0.0001,0.0001,0.0002,0.0003,0.0001,0.0001,0.0909,0.0054,0.0089,0.0027,0.0001
nutzen,63,0.0001,0.013,0.0055,0.0045,0.0045,0.0001,0.0002,0.0002,0.0001,0.0133,0.0057,0.0001
sowohl,61,0.0001,0.0129,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0231,0.0079,0.0001,0.0001
digital,61,0.0001,0.0038,0.0001,0.0002,0.0001,0.0139,0.0111,0.0002,0.0001,0.0033,0.0144,0.0001
entwickeln,60,0.0152,0.0021,0.0072,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0109,0.0087,0.0001
außerschulisch,59,0.0001,0.0001,0.0041,0.0002,0.0001,0.0001,0.0001,0.0022,0.049,0.0,0.0001,0.0001
ziel,59,0.0008,0.0001,0.0057,0.0002,0.0143,0.0001,0.0076,0.0084,0.0244,0.0,0.0001,0.0001
gesellschaftlich,59,0.0157,0.0057,0.009,0.0002,0.0008,0.0021,0.0001,0.0002,0.0001,0.0,0.0089,0.0001
aufgabe,58,0.0001,0.0001,0.0124,0.0094,0.0001,0.0001,0.0001,0.0002,0.0223,0.0,0.0018,0.0204
modell,58,0.0001,0.0191,0.0001,0.0002,0.0001,0.0189,0.0001,0.0002,0.0001,0.0,0.0001,0.01
europäisch,57,0.0047,0.0001,0.0001,0.0002,0.0051,0.0267,0.0001,0.0002,0.0001,0.0,0.0001,0.0001
fähigkeit,56,0.0123,0.0001,0.0162,0.0077,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0166,0.0001
welt,55,0.0062,0.001,0.0001,0.0002,0.0073,0.0177,0.0001,0.0002,0.0001,0.0001,0.001,0.0001
arbeit,54,0.01,0.0001,0.0001,0.0036,0.0001,0.0001,0.0001,0.0172,0.0001,0.0127,0.0043,0.0001
sozialkompetenz,54,0.0018,0.0074,0.0027,0.0086,0.0001,0.0001,0.0001,0.0002,0.0001,0.0125,0.0034,0.0001
verschieden,52,0.021,0.0001,0.005,0.0002,0.0055,0.0001,0.0001,0.0002,0.0001,0.0,0.0051,0.0001
verantwortung,50,0.0163,0.002,0.0001,0.0002,0.0015,0.0001,0.0001,0.0002,0.0001,0.0001,0.0134,0.0001
rahmen,49,0.001,0.0035,0.0013,0.0003,0.0001,0.0001,0.0001,0.0291,0.01,0.0046,0.0105,0.0001
handeln,49,0.0019,0.0038,0.018,0.0044,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0074,0.0238
vertiefung,48,0.0001,0.0001,0.0001,0.0002,0.0022,0.0001,0.0001,0.0002,0.0226,0.0095,0.0001,0.0001
ökonomisch,48,0.0001,0.0001,0.0001,0.0002,0.0496,0.0033,0.0001,0.0002,0.0001,0.0,0.0001,0.0001
interesse,48,0.0013,0.0021,0.0105,0.0002,0.0006,0.0041,0.0001,0.0002,0.0233,0.0,0.0001,0.0001
arbeitsform,46,0.0001,0.0186,0.0001,0.0002,0.0001,0.0001,0.0095,0.0002,0.0001,0.0041,0.0001,0.0001
aktiv,45,0.0001,0.0001,0.0001,0.0002,0.0014,0.0065,0.0001,0.0002,0.0001,0.011,0.0129,0.0001
information,45,0.0001,0.0128,0.0001,0.0002,0.0001,0.0129,0.0001,0.0002,0.0001,0.0001,0.0036,0.0051
