term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
klischee,126,0.0012,0.001,0.0007,0.001,0.0089,0.0055,0.0015,0.0001,0.0082,0.0003,0.0129,0.0647,0.0483,0.0467,0.0001,0.0007,0.0102,0.0016,0.0001,0.0003
form,102,0.0012,0.0011,0.0007,0.0009,0.0001,0.0001,0.0015,0.0001,0.0002,0.0002,0.0002,0.0694,0.0199,0.0664,0.0001,0.0007,0.0002,0.0016,0.0036,0.0003
mensch,80,0.0012,0.0009,0.0223,0.0009,0.005,0.0284,0.0015,0.0001,0.0062,0.0003,0.0002,0.0001,0.0001,0.0587,0.0243,0.0007,0.0002,0.0018,0.0293,0.0192
stereotyp,75,0.0012,0.0009,0.0007,0.0009,0.0001,0.0001,0.0015,0.0335,0.0043,0.0002,0.0002,0.0543,0.003,0.0498,0.0001,0.0007,0.0002,0.0016,0.0001,0.0003
sozial,68,0.0012,0.0009,0.0007,0.0009,0.0001,0.0001,0.0015,0.0001,0.0002,0.0003,0.0002,0.0001,0.025,0.0001,0.0001,0.0007,0.0234,0.0016,0.0786,0.0247
toleranz,67,0.0012,0.0009,0.0008,0.001,0.061,0.0001,0.0016,0.0001,0.0143,0.0002,0.0002,0.0232,0.0001,0.0001,0.0063,0.0007,0.0127,0.0016,0.0001,0.0003
ursache,66,0.0013,0.0009,0.0019,0.001,0.0001,0.0001,0.0015,0.0055,0.0002,0.0082,0.0002,0.0001,0.028,0.0259,0.0001,0.0685,0.0002,0.0019,0.0001,0.0206
wahrnehmung,62,0.0256,0.0009,0.004,0.001,0.0001,0.0101,0.0014,0.0001,0.0002,0.0063,0.0002,0.0001,0.0001,0.0001,0.0001,0.0099,0.0002,0.0227,0.0169,0.1396
folge,55,0.0012,0.0009,0.0019,0.001,0.0001,0.0001,0.0015,0.0057,0.0002,0.0075,0.0002,0.0001,0.0494,0.0025,0.0001,0.0007,0.0002,0.0017,0.0107,0.0206
urteil,54,0.0167,0.0275,0.0023,0.0009,0.0001,0.0465,0.0014,0.0001,0.0002,0.0405,0.0133,0.0001,0.0001,0.0001,0.0018,0.0099,0.0002,0.0016,0.0001,0.025
möglichkeit,52,0.0012,0.0009,0.0007,0.001,0.0171,0.0065,0.0015,0.0001,0.0164,0.0011,0.0002,0.0001,0.0163,0.0099,0.0232,0.0007,0.0002,0.0016,0.0002,0.0003
kritisch,48,0.0012,0.0244,0.0007,0.0009,0.0214,0.0331,0.0015,0.0001,0.0002,0.007,0.0251,0.0001,0.0001,0.0024,0.0001,0.0007,0.0002,0.0016,0.0037,0.0003
medium,46,0.0012,0.047,0.0008,0.0009,0.0001,0.0001,0.0015,0.0001,0.0002,0.0166,0.0002,0.0001,0.0215,0.0376,0.0127,0.0007,0.0028,0.0016,0.0001,0.0003
unterschiedlich,46,0.0012,0.001,0.01,0.0009,0.0217,0.0001,0.0015,0.0232,0.0002,0.0002,0.0002,0.0019,0.0223,0.0003,0.0064,0.0099,0.0002,0.0018,0.006,0.0003
prüfen,40,0.0012,0.0009,0.0007,0.0289,0.0001,0.0122,0.0014,0.0001,0.0002,0.0002,0.0136,0.0141,0.0001,0.0001,0.0137,0.0007,0.0002,0.0016,0.0001,0.0003
historisch,39,0.0012,0.001,0.0007,0.0009,0.0001,0.0312,0.0015,0.0001,0.0002,0.0002,0.0391,0.0001,0.0001,0.0096,0.016,0.0007,0.0002,0.0016,0.0001,0.0003
mobbing,39,0.0012,0.0009,0.0007,0.001,0.0001,0.0001,0.0015,0.0001,0.0042,0.0115,0.0002,0.0001,0.0215,0.0002,0.0001,0.0007,0.0201,0.0016,0.0216,0.0003
konflikt,38,0.0012,0.0009,0.0184,0.0009,0.0001,0.0001,0.0015,0.0001,0.0064,0.0002,0.0002,0.0001,0.0138,0.0024,0.0001,0.0308,0.0227,0.0973,0.0093,0.0003
geschichte,36,0.0012,0.0305,0.0007,0.0319,0.0001,0.0001,0.0014,0.0108,0.0002,0.0281,0.0002,0.0001,0.0001,0.0034,0.0235,0.0007,0.0002,0.0016,0.0001,0.0123
kultur,36,0.0012,0.0009,0.0007,0.001,0.0001,0.002,0.0015,0.0001,0.0258,0.0002,0.0002,0.0001,0.0001,0.0235,0.0001,0.0007,0.0002,0.0016,0.0134,0.0003
verschieden,35,0.0012,0.0009,0.0023,0.001,0.0001,0.002,0.0205,0.0001,0.0002,0.0003,0.0002,0.0002,0.0094,0.0153,0.0001,0.0007,0.0002,0.0017,0.0064,0.0227
diskriminierung,34,0.0012,0.0009,0.0007,0.001,0.0174,0.0001,0.0015,0.0001,0.0066,0.0002,0.0002,0.0001,0.025,0.0007,0.0001,0.0007,0.0069,0.0018,0.0001,0.0003
leben,34,0.0013,0.0009,0.0009,0.0009,0.0164,0.0001,0.0015,0.0001,0.0002,0.0058,0.0133,0.0001,0.0001,0.0025,0.0001,0.0007,0.0204,0.0016,0.0177,0.0003
zusammenhang,33,0.0012,0.0009,0.0007,0.0009,0.0001,0.0187,0.0014,0.0002,0.0002,0.0002,0.0002,0.0113,0.0068,0.0027,0.0001,0.0007,0.0002,0.0017,0.0001,0.0037
wert,32,0.0012,0.0011,0.0008,0.0009,0.028,0.0001,0.0015,0.0001,0.0002,0.0002,0.0002,0.0019,0.0001,0.0001,0.0001,0.0007,0.0349,0.0016,0.0001,0.0003
zusammenleben,32,0.0012,0.001,0.0007,0.0009,0.0043,0.0001,0.0015,0.0001,0.044,0.0002,0.0002,0.0019,0.0129,0.0054,0.0001,0.0007,0.0128,0.0017,0.0001,0.0003
handeln,31,0.0012,0.0009,0.0421,0.0009,0.0302,0.0022,0.0016,0.0001,0.0002,0.0002,0.0002,0.0001,0.0001,0.0268,0.0001,0.0104,0.0002,0.0016,0.0001,0.0038
umgang,31,0.0012,0.0009,0.0007,0.0009,0.0124,0.0001,0.0015,0.0001,0.0002,0.0002,0.0083,0.0138,0.0001,0.0001,0.0205,0.0007,0.0002,0.0016,0.0175,0.0003
beziehen,30,0.0012,0.0009,0.0007,0.001,0.0001,0.0151,0.0015,0.0001,0.0002,0.0002,0.0003,0.0001,0.0252,0.0001,0.0001,0.0007,0.0002,0.0017,0.0001,0.0003
gewalt,30,0.0012,0.0009,0.0007,0.0009,0.0001,0.0001,0.0015,0.0001,0.024,0.0003,0.0002,0.0001,0.0133,0.0052,0.0001,0.0007,0.0151,0.0016,0.0002,0.0003
bne,29,0.0012,0.0009,0.0007,0.0009,0.0001,0.0001,0.0015,0.0001,0.0002,0.0002,0.0002,0.0262,0.0001,0.0001,0.0001,0.0007,0.0002,0.0016,0.004,0.0003
gesellschaftlich,29,0.0012,0.0009,0.0007,0.0009,0.0002,0.0001,0.0015,0.0291,0.0002,0.0002,0.0248,0.0119,0.0001,0.0137,0.0001,0.0007,0.0002,0.0016,0.0113,0.0003
